@relation 'pacmanInformation-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R7-8,17-22'

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
23,7,North,South,East,None,1,1,3,1,5,1,22,15,515,North
23,8,North,South,East,West,1,1,3,1,5,1,21,15,514,North
23,9,North,South,East,None,1,1,3,1,5,1,21,16,513,North
23,10,North,South,East,West,1,1,3,1,5,1,20,16,512,North
23,11,None,South,East,West,1,1,3,1,5,1,20,15,511,North
22,11,None,South,East,None,1,1,3,1,5,1,20,16,510,West
22,10,North,None,East,West,1,1,3,1,5,1,20,16,509,South
21,10,None,None,East,West,1,1,3,1,5,1,20,17,508,West
20,10,North,None,East,West,1,1,3,1,5,1,21,17,507,West
20,11,North,South,None,West,1,1,3,1,5,1,21,17,506,North
20,12,North,South,None,West,1,1,3,1,5,1,20,17,505,North
20,13,North,South,None,West,1,1,3,1,5,1,21,17,504,North
20,14,North,South,None,West,1,1,3,1,5,1,20,17,503,North
1,18,None,South,East,None,5,9,11,3,17,6,25,13,0,Stop
1,17,North,South,None,None,6,9,11,4,17,6,25,13,-1,South
1,16,North,South,East,None,5,9,10,4,17,5,25,13,-2,South
2,16,None,South,East,West,5,10,10,5,17,4,25,13,-3,East
2,15,North,South,East,West,5,10,10,5,17,5,25,14,-4,South
2,14,North,None,East,West,5,9,11,5,17,4,24,14,-5,South
3,14,North,None,East,West,5,9,11,5,17,5,24,14,-6,East
4,14,North,None,East,West,6,9,10,5,17,6,24,15,-7,East
5,14,North,None,East,West,6,10,9,5,17,5,23,15,-8,East
6,14,North,None,East,West,6,10,8,5,18,5,23,15,-9,East
7,14,North,None,East,West,6,9,8,5,18,5,24,15,-10,East
8,14,North,South,East,West,5,9,8,6,19,5,25,15,-11,East
8,13,North,South,East,None,4,9,8,5,20,5,25,16,-12,South
8,12,North,South,East,West,4,10,8,6,20,6,25,16,-13,South
8,11,North,South,East,None,4,10,8,5,21,6,25,17,-14,South
8,10,North,South,East,None,3,10,8,4,22,6,25,17,-15,South
8,9,North,South,East,None,4,10,9,4,23,6,25,18,-16,South
8,8,North,South,East,None,5,10,10,4,24,6,24,18,-17,South
8,7,North,South,East,None,4,10,10,5,24,7,25,18,-18,South
9,7,North,South,East,West,5,10,9,5,25,7,25,18,-19,East
9,6,North,South,East,West,4,10,10,5,25,7,25,18,-20,South
9,5,North,South,East,West,4,9,10,4,24,7,25,18,-21,South
9,4,North,South,East,West,4,8,10,5,24,7,25,17,-22,South
10,4,North,South,East,West,4,8,10,5,24,6,25,18,-23,East
10,5,North,South,East,West,4,9,3,1,25,6,25,17,176,North
10,6,North,South,East,West,4,9,3,1,24,6,25,16,175,North
10,7,North,South,East,West,5,9,3,1,24,7,25,15,174,North
10,8,North,South,East,West,4,9,3,1,24,8,25,14,173,North
10,9,North,South,East,West,5,9,3,1,24,7,25,15,172,North
9,9,North,South,East,West,5,10,3,1,24,8,25,16,171,West
9,10,North,South,East,West,4,10,3,1,24,7,25,15,170,North
8,10,North,South,East,None,4,9,3,1,23,7,24,15,169,West
8,9,North,South,East,None,4,8,3,1,23,8,24,16,168,South
8,8,North,South,East,None,3,8,3,1,23,7,24,16,167,South
8,7,North,South,East,None,3,8,3,1,23,7,24,16,166,South
8,6,North,South,East,West,3,7,3,1,24,7,23,16,165,South
7,6,None,None,East,West,3,6,3,1,24,6,22,16,164,West
6,6,North,None,East,West,2,6,3,1,24,7,22,15,163,West
5,6,North,South,East,West,1,6,3,1,24,7,22,14,162,West
4,6,North,South,East,West,1,6,3,1,24,8,23,14,161,West
3,6,North,South,East,West,1,7,3,1,23,8,23,13,160,West
3,7,North,South,East,None,1,6,3,1,22,8,23,13,159,North
3,8,North,South,East,None,1,7,3,1,22,8,22,13,158,North
3,9,North,South,East,None,1,6,3,1,22,8,23,13,157,North
3,10,None,South,East,None,1,6,3,1,22,8,22,13,156,North
4,10,None,South,East,West,2,6,3,1,22,8,22,14,155,East
4,9,North,South,East,West,1,6,3,1,21,8,22,14,154,South
4,8,North,South,East,West,1,6,3,1,22,8,22,13,153,South
4,7,North,South,East,West,2,6,3,1,23,8,22,14,152,South
4,6,North,South,East,West,2,6,3,1,23,8,22,15,151,South
3,6,North,South,East,West,1,6,3,1,23,7,21,15,150,West
2,6,None,South,East,West,1,5,3,1,23,8,22,15,149,West
2,5,North,South,East,West,1,6,3,1,23,9,21,15,148,South
1,5,North,South,East,None,1,1,3,1,23,10,21,15,347,West
1,6,North,South,East,None,1,1,3,1,24,10,21,16,346,North
2,6,None,South,East,West,1,1,3,1,24,10,21,17,345,East
3,6,North,South,East,West,1,1,3,1,23,10,21,17,344,East
3,7,North,South,East,None,1,1,3,1,23,9,21,17,343,North
4,7,North,South,East,West,1,1,3,1,23,9,21,18,342,East
4,8,North,South,East,West,1,1,3,1,24,9,21,17,341,North
4,9,North,South,East,West,1,1,3,1,24,8,20,17,340,North
5,9,North,South,East,West,1,1,3,1,23,8,20,17,339,East
5,8,North,South,East,West,1,1,3,1,22,8,21,17,338,South
6,8,North,South,None,West,1,1,3,1,21,8,20,17,337,East
6,9,North,South,None,West,1,1,3,1,22,8,19,17,336,North
6,10,None,South,None,West,1,1,3,1,22,8,20,17,335,North
5,10,None,South,East,West,1,1,3,1,22,8,19,17,334,West
5,9,North,South,East,West,1,1,3,1,21,8,18,17,333,South
5,8,North,South,East,West,1,1,3,1,22,8,19,17,332,South
6,8,North,South,None,West,1,1,3,1,22,8,18,17,331,East
